original_name,cleaned_name
PWY-5136: fatty acid &beta;-oxidation II (peroxisome),PWY-5136
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation),PWY-5345
PWY-6612: superpathway of tetrahydrofolate biosynthesis,PWY-6612
METHGLYUT-PWY: superpathway of methylglyoxal degradation,METHGLYUT-PWY
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis,SULFATE-CYS-PWY
PWY-922: mevalonate pathway I,PWY-922
PWY-6595: superpathway of guanosine nucleotides degradation (plants),PWY-6595
P42-PWY: incomplete reductive TCA cycle,P42-PWY
PWY-5941: glycogen degradation II (eukaryotic),PWY-5941
"P125-PWY: superpathway of (R,R)-butanediol biosynthesis",P125-PWY
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),PWY-821
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis,PWY0-1241
PWY-5083: NAD/NADH phosphorylation and dephosphorylation,PWY-5083
CRNFORCAT-PWY: creatinine degradation I,CRNFORCAT-PWY
SO4ASSIM-PWY: sulfate reduction I (assimilatory),SO4ASSIM-PWY
PWY-7046: 4-coumarate degradation (anaerobic),PWY-7046
PWY-6531: mannitol cycle,PWY-6531
P621-PWY: nylon-6 oligomer degradation,P621-PWY
KETOGLUCONMET-PWY: ketogluconate metabolism,KETOGLUCONMET-PWY
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic),HEME-BIOSYNTHESIS-II
PWY-7312: dTDP-D-&beta;-fucofuranose biosynthesis,PWY-7312
PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis,PWY-7332
PROPFERM-PWY: L-alanine fermentation to propanoate and acetate,PROPFERM-PWY
P162-PWY: L-glutamate degradation V (via hydroxyglutarate),P162-PWY
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,ARG+POLYAMINE-SYN
PWY-6572: chondroitin sulfate degradation I (bacterial),PWY-6572
PWY-6749: CMP-legionaminate biosynthesis I,PWY-6749
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP,PWY-7210
PWY66-391: fatty acid &beta;-oxidation VI (peroxisome),PWY66-391
"PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation",PWY-5138
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I,POLYAMSYN-PWY
GALACTARDEG-PWY: D-galactarate degradation I,GALACTARDEG-PWY
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation,GLUCARGALACTSUPER-PWY
GLUCARDEG-PWY: D-glucarate degradation I,GLUCARDEG-PWY
"PWY-7288: fatty acid &beta;-oxidation (peroxisome, yeast)",PWY-7288
PWY-5101: L-isoleucine biosynthesis II,PWY-5101
P562-PWY: myo-inositol degradation I,P562-PWY
PWY-3781: aerobic respiration I (cytochrome c),PWY-3781
PWY-5677: succinate fermentation to butanoate,PWY-5677
PWY-7316: dTDP-N-acetylviosamine biosynthesis,PWY-7316
PWY0-881: superpathway of fatty acid biosynthesis I (E. coli),PWY0-881
PWY-6143: CMP-pseudaminate biosynthesis,PWY-6143
PWY-5838: superpathway of menaquinol-8 biosynthesis I,PWY-5838
PWY-5845: superpathway of menaquinol-9 biosynthesis,PWY-5845
PWY-6435: 4-hydroxybenzoate biosynthesis V,PWY-6435
PWY-5897: superpathway of menaquinol-11 biosynthesis,PWY-5897
PWY-5898: superpathway of menaquinol-12 biosynthesis,PWY-5898
PWY-5899: superpathway of menaquinol-13 biosynthesis,PWY-5899
PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis,PWY-6478
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis,PWY-5861
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis,PWY-5862
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",PWY-6318
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II,POLYAMINSYN3-PWY
PWY-5863: superpathway of phylloquinol biosynthesis,PWY-5863
PWY-6138: CMP-N-acetylneuraminate biosynthesis I (eukaryotes),PWY-6138
P23-PWY: reductive TCA cycle I,P23-PWY
PWY-5918: superpathay of heme biosynthesis from glutamate,PWY-5918
"PWY-5791: 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)",PWY-5791
"PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I",PWY-5837
PWY1G-0: mycothiol biosynthesis,PWY1G-0
PWY66-389: phytol degradation,PWY66-389
PWY0-1415: superpathway of heme biosynthesis from uroporphyrinogen-III,PWY0-1415
PWY-4702: phytate degradation I,PWY-4702
PWY-5367: petroselinate biosynthesis,PWY-5367
"PWY-6396: superpathway of 2,3-butanediol biosynthesis",PWY-6396
PWY-6113: superpathway of mycolate biosynthesis,PWY-6113
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli),PWY-6284
PWY-5971: palmitate biosynthesis II (bacteria and plants),PWY-5971
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",GLYCOLYSIS-TCA-GLYOX-BYPASS
"PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",PWY-5464
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase),P105-PWY
PWY-6629: superpathway of L-tryptophan biosynthesis,PWY-6629
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation,PWY-561
GLYOXYLATE-BYPASS: glyoxylate cycle,GLYOXYLATE-BYPASS
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA,TCA-GLYOX-BYPASS
PWY-6630: superpathway of L-tyrosine biosynthesis,PWY-6630
PWY-7254: TCA cycle VII (acetate-producers),PWY-7254
PWY-5723: Rubisco shunt,PWY-5723
PWY-5189: tetrapyrrole biosynthesis II (from glycine),PWY-5189
ORNDEG-PWY: superpathway of ornithine degradation,ORNDEG-PWY
"PWY-7385: 1,3-propanediol biosynthesis (engineered)",PWY-7385
ENTBACSYN-PWY: enterobactin biosynthesis,ENTBACSYN-PWY
PWY-5675: nitrate reduction V (assimilatory),PWY-5675
PWY-6803: phosphatidylcholine acyl editing,PWY-6803
PWY-5840: superpathway of menaquinol-7 biosynthesis,PWY-5840
PWY-5920: superpathway of heme biosynthesis from glycine,PWY-5920
REDCITCYC: TCA cycle VIII (helicobacter),REDCITCYC
PWY-5994: palmitate biosynthesis I (animals and fungi),PWY-5994
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,ALLANTOINDEG-PWY
PWY0-42: 2-methylcitrate cycle I,PWY0-42
PWY-6263: superpathway of menaquinol-8 biosynthesis II,PWY-6263
PWY-5656: mannosylglycerate biosynthesis I,PWY-5656
PWY-7204: pyridoxal 5'-phosphate salvage II (plants),PWY-7204
PWY-5747: 2-methylcitrate cycle II,PWY-5747
P122-PWY: heterolactic fermentation,P122-PWY
"PWY-6837: fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)",PWY-6837
PWY-7446: sulfoglycolysis,PWY-7446
PWY-4722: creatinine degradation II,PWY-4722
PWY-6876: isopropanol biosynthesis,PWY-6876
PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation,PWY0-1277
AST-PWY: L-arginine degradation II (AST pathway),AST-PWY
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate,HCAMHPDEG-PWY
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate,PWY-6690
PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast),PWY-7269
UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (prokaryotic),UBISYN-PWY
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation,GLYCOL-GLYOXDEG-PWY
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic),PWY-5855
PWY-5856: ubiquinol-9 biosynthesis (prokaryotic),PWY-5856
PWY-5857: ubiquinol-10 biosynthesis (prokaryotic),PWY-5857
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic),PWY-6708
"PWY-7039: phosphatidate metabolism, as a signaling molecule",PWY-7039
PWY-5705: allantoin degradation to glyoxylate III,PWY-5705
PWY-7279: aerobic respiration II (cytochrome c) (yeast),PWY-7279
PWY-7094: fatty acid salvage,PWY-7094
P221-PWY: octane oxidation,P221-PWY
PWY66-398: TCA cycle III (animals),PWY66-398
PWY-6285: superpathway of fatty acids biosynthesis (E. coli),PWY-6285
P163-PWY: L-lysine fermentation to acetate and butanoate,P163-PWY
PWY-6785: hydrogen production VIII,PWY-6785
PWY-5088: L-glutamate degradation VIII (to propanoate),PWY-5088
PWY-101: photosynthesis light reactions,PWY-101
PWY-6823: molybdenum cofactor biosynthesis,PWY-6823
ECASYN-PWY: enterobacterial common antigen biosynthesis,ECASYN-PWY
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis,LPSSYN-PWY
PWY3O-355: stearate biosynthesis III (fungi),PWY3O-355
PWY0-41: allantoin degradation IV (anaerobic),PWY0-41
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis,KDO-NAGLIPASYN-PWY
PWY-7399: methylphosphonate degradation II,PWY-7399
PWY0-1338: polymyxin resistance,PWY0-1338
PWY0-1533: methylphosphonate degradation I,PWY0-1533
PWY-5692: allantoin degradation to glyoxylate II,PWY-5692
URDEGR-PWY: superpathway of allantoin degradation in plants,URDEGR-PWY
PWY-5850: superpathway of menaquinol-6 biosynthesis I,PWY-5850
PWY-5896: superpathway of menaquinol-10 biosynthesis,PWY-5896
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I,PWY-5860
AEROBACTINSYN-PWY: aerobactin biosynthesis,AEROBACTINSYN-PWY
UDPNACETYLGALSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis II,UDPNACETYLGALSYN-PWY
