pathway,Taxonomy,gene
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A8SSF3
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_C4Z1M9
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A0A0P0LLB5
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_Q8A8R2
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_Q8A2E9
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A6L050
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A6L3M9
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A0A3E4SK17
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_Q8A624
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_R5CDC3
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A0A076J0M3
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_R6YPH4
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_D4V4U7
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_Q5L923
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_Q5L9E3
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_R5CHH0
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A6KXL2
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_D1PFW5
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_Q8A8R5
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_D1PGM2
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A0A076IRH5
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_R5CP60
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A0A0P0LFD2
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_R6YRU1
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_A0A0P0LPD3
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_A6L7P7
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_A0A076J0D7
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_A8SSF3
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_C4Z1M9
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_A0A0P0LLB5
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_Q8A8R2
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_Q8A2E9
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_A6L050
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_A6L3M9
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_A0A3E4SK17
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_Q8A624
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_R5CDC3
